bucket,gap_text,gap_ici,delta_gap
Q1,-0.833,-0.667,0.167
Q2,-0.5,-0.5,0.0
Q3,-0.833,-0.333,0.5
Q4,0.0,0.0,0.0
Q5,0.0,0.0,0.0
