Metric,Text-only,ICI-penalized (λ=0.25)
Top-1,0.708,0.583
Recall@3,0.833,0.958
Recall@5,1.0,1.0
C@3,0.278,0.319
C@5,0.2,0.2
nDCG@10,0.852,0.832
