lambda,Top-1,nDCG@10,Recall@3,C@3,Recall@5,C@5
0.0,0.917,0.964,1.0,0.333,1.0,0.2
0.25,0.375,0.68,0.667,0.222,0.875,0.175
0.5,0.125,0.49,0.292,0.097,0.625,0.125
0.75,0.0,0.395,0.125,0.042,0.458,0.092
1.0,0.0,0.374,0.042,0.014,0.458,0.092
