Metric,Text-only,ICI-penalized (λ=0.25)
Top-1,0.917,0.375
Recall@3,1.0,0.667
Recall@5,1.0,0.875
C@3,0.333,0.222
C@5,0.2,0.175
nDCG@10,0.964,0.68
