lambda,Top-1,nDCG@10,Recall@3,C@3,Recall@5,C@5
0.0,0.708,0.852,0.833,0.278,1.0,0.2
0.25,0.583,0.832,0.958,0.319,1.0,0.2
0.5,0.542,0.798,0.917,0.306,1.0,0.2
0.75,0.5,0.765,0.75,0.25,1.0,0.2
1.0,0.5,0.765,0.75,0.25,1.0,0.2
