bucket,gap_text,gap_ici,delta_gap
Q1,-1.0,-1.0,0.0
Q2,0.0,0.0,0.0
Q3,0.0,0.0,0.0
Q4,-0.333,-0.417,-0.083
Q5,0.0,0.0,0.0
